,PUBCHEM_CID,smile_1851,p450-cyp2d6-Potency
58,656216,C1=CC=C(C(=C1)C2NC3=CC=CC4=C3C(=CC=C4)N2)O,10
59,656232,C1=CC=C(C=C1)CC2=C3C(=O)C=CNC3=CC=C2,0.00707946
60,656272,CC1=CC=C(C=C1)C2=C(C3=NC4=C(CCCC4)C(=O)N3N2)C,25.1189
61,656290,CC1=CC(=CC=C1)NC(=O)CN2C3=CC=CC=C3OC2=O,3.16228
62,54686761,CCN(CC)CCNC(=O)C1=C(C2=CC=CC=C2N(C1=O)CC=C)O.Cl,4.46684
63,657423,CN1CCC2(CC1)C3CN(CC=C3C(=C(C2(C#N)C#N)N)C#N)C.O.[OH-],14.1254
64,6449251,CC1(CC2=CC(=C(C=C2/C(=C/C(=O)N3CCOCC3)/N1)OC)OC)C.Cl,2.81838
65,6602578,CCOCCN1CCC(C(C1)C)OC(=O)C.Cl,12.5893
66,658614,CCN(CC)C1=CC2=C(C=C1)C(C(=C(O2)N)C#N)C3=CN=CC=C3,15.8489
67,658723,COC(=O)C1=C(C2=C(N1)C=CC(=C2)Br)NC(=O)CN3CCN(CC3)C4CCCCC4,1
68,659575,CCSC1=NN=C(S1)NC(=O)C(C(F)(F)F)C(F)(F)F,25.1189
69,659654,C1=CN=CC=C1C2=NC3=CC(=C(C=C3N2)F)F,12.5893
70,659658,CC1=C(C=NN1C)C=NCCOCC2=CC=CC=C2,25.1189
71,6603569,CC1=CC2=C(C=C1)N([C@@H]3[C@H]2CN(CC3)C)S(=O)(=O)C4=CC=C(C=C4)F.Cl,14.1254
72,659775,CCOC(=O)C1C(C(NC1=O)C)C2=CC=CC=C2,0.0501187
73,659902,CC1CCCCN1C2=NC(=NC3=CC=CC=C32)C4=CC=NC=C4,7.94328
74,659936,CC1=CC=C(C=C1)C(=O)C2=C(NN=C2)C3=C(C=CC(=C3)Cl)O,28.1838
75,660285,COC1=CC=C(C=C1)S(=O)(=O)N2CCC(CC2)N3CCCCC3,0.316228
76,660522,CC(C)OC(=O)C(C#N)C1=NC2=CC=CC=C2N=C1N3CCN(CC3)CC4=CC=CC=C4,0.112202
77,660546,CC1=CC(=CC=C1)OCC(=O)N2CCC(CC2)N3CCCCCC3,4.46684
78,660635,CC1=C2CCCCC2=C3C(=C(SC3=N1)C#N)N,0.398107
79,660660,CC1(CC2=C(C(C3=CC4=CC=CC=C4N=C3O2)C(C#N)C#N)C(=O)C1)C,0.112202
80,661037,CNC1=C(N=C(O1)C2=CC=C(C=C2)Cl)C#N,22.3872
81,661217,C1=CC=C(C=C1)CNC2=C(N=C(O2)C3=CC=CS3)C#N,4.46684
82,661251,COC1=CC=C(C=C1)CC(=O)NC2=CC=CC(=C2)C3=NN=C(O3)C4=CC=CO4,19.9526
83,661502,C1=CC=C2C(=C1)C(=O)N(C(N2)C3=CC=C(C=C3)F)CC4=CC=CO4,0.398107
84,661596,COC1=CC=CC(=C1)C2=CC(N3C(=NN=N3)N2)C4=CC=CC=C4,31.6228
85,661601,CCC(=O)NC1=C(C=CC(=C1)C2=NN(C(=O)C3=CC=CC=C32)C)N4CCCCC4,11.2202
86,661761,CCOC(=O)C1=C(C2=CC3=C(C=C2N1)OCO3)NC(=O)CN4CCC5=CC=CC=C5C4,3.54813
87,662011,CCN1CCCC1CN2C=NC3=C(C2=O)NC4=C3C=C(C=C4)C,4.46684
88,662109,CCOC(=O)C1=C(N(C2=C1C(=C(C=C2)OC)NC(=O)CN3CCCCC3)C)C,19.9526
89,662144,CCOC(=O)C1=C(N(C2=C1C(=C(C=C2)OC)NC(=O)CN3CCN(CC3)CC4=CC=CC=C4)C)C,5.62341
90,5775,CC1=CC=C(C=C1)N(CC2=NCCN2)C3=CC(=CC=C3)O,1.12202
91,662260,CCCCCCOC(=O)C(C#N)C1=NC2=CC=CC=C2N=C1N3CCN(CC3)CC,25.1189
92,662344,CCOC(=O)C1=C(C2=C(N1)C=CC(=C2)OC)NC(=O)C3=CC4=C(C=C3)OCO4,14.1254
93,6603410,CC(C)[C@@H](C1=NN=C(O1)SCC2=CC=C(C=C2)Cl)N.Cl,28.1838
94,6603500,CCSC1=NN=C(O1)[C@H](CC2=CNC3=CC=CC=C32)N.Cl,12.5893
95,6603236,CCN(CC)CCOC(=O)C1=C(N(C2=C1C=C(C=C2)OC)C)C.Cl,28.1838
96,6603499,CC(CN1CCN(CC1)C)OC(=O)C2=CC(=C(C=C2)OC)OC.Cl,3.54813
97,6602710,CC(=C)CSC1=NN=C(O1)[C@H](CC2=CNC3=CC=CC=C32)N.Cl,10
98,662650,COC1=C(C=C(C=C1)C2=NNC(=C2)C3=C(C=CC(=C3)F)O)OC,28.1838
99,662670,COC1=CC2=C(C=C1)C(=C(N2)C(=O)OC)NC(=O)C3=CC4=C(C=C3)OCO4,22.3872
100,662878,CCOC1=CC=CC=C1NC(=O)CSC2=NN=C(N2C)C3=NC=CN=C3,12.5893
101,662991,CC1=C(C(=NN1)C2=C(C=C(C=C2)O)O)C3=CC=C(C=C3)Cl,3.54813
102,6603621,C1=CC=C(C(=C1)CSC2=NN=C(O2)CCCCCN)Cl.Cl,11.2202
103,663121,C1=CC=C(C=C1)S(=O)(=O)C2=C(N(C3=NC4=CC=CC=C4N=C23)CC5=CC=CO5)N,25.1189
104,663125,C1=CC(=CC=C1C2=C(NN=C2)C3=C(C=C(C=C3)O)O)Cl,8.91251
105,663146,COC1=CC2=C(C=C1)C3=C(N2)C(=NC=N3)N4CCN(CC4)CC5=CC6=C(C=C5)OCO6,1.58489
106,663281,CCN1CCN(CC1)C2=NC3=CC=CC=C3N=C2C(C#N)C(=O)OC4CCCCC4,28.1838
107,663330,CCN1C(=O)C2=C(N=C1SCC(=O)N3CCOCC3)OC4=C(C2=O)C=C(C=C4Cl)Cl,15.8489
108,663340,COC1=CC=C(C=C1)CCN2C3=C(C=C(C2=N)C(=O)NCC4=CC=CO4)C(=O)N5C=CC=CC5=N3,1.12202
109,663736,COC(=O)[C@H](CC1=CC=CC=C1)NC(=O)N2CCN(CC2)CC3=CC=CC=C3,11.2202
110,663792,CCOCCCN1C2=C(C=C(C1=N)C(=O)NCC3=CC4=C(C=C3)OCO4)C(=O)N5C=CC=C(C5=N2)C,0.316228
111,663879,CC1=CC=C(O1)C(=O)C2=C(C(=O)N(C2C3=CC=C(C=C3)OC(C)C)CCCN4C=CN=C4)O,12.5893
112,664154,CC1=CC2=C(C=C1)C(=C(N2)C(=O)OC)NC(=O)CN3CCCC4=CC=CC=C43,25.1189
113,6603365,C1=CC=C2C(=C1)C3=C(O2)C(=NC=N3)NCCCN4C=CN=C4.Cl,1.25893
114,664737,CCN1C2=C(C=C(C1=N)S(=O)(=O)C3=CC=C(C=C3)F)C(=O)N4C=CC=CC4=N2,0.794328
115,664759,C1CN(CCN1CC2=CC=CC=C2)CC(=O)C3=CC=C(C=C3)Br,1.41254
116,664826,CCCC(=O)N=C1N(C2CS(=O)(=O)CC2S1)C3=CC=C(C=C3)CC,15.8489
117,664974,CC(C)CN1C=NC2=C(C1=N)C(C3=C(O2)CC(CC3=O)(C)C)C4=CC=C(C=C4)OC,1
118,665084,C1=COC(=C1)C(=O)NC2=CC3=C(C=C2)N=C(N3)C4=CC=C(O4)Br,1
119,6602811,CCCCCCN1CC2=CC=CC=C2C1.Br,3.54813
120,665219,COCCN1CNC(=NC1)NC2=NC3=CC=CC=C3S2,11.2202
121,665250,CN1C=C(C=C1C2=NC3=CC=CC=C3N2C)C(=O)C4=CC=C(C=C4)Cl,8.91251
122,665380,CCCN1C2=C(C=C(C=C2)OC)C(C1=O)NC(=O)C,0.00562341
123,665725,CN1C2=C(C=C(C1=N)S(=O)(=O)C3=CC=C(C=C3)F)C(=O)N4C=CC=CC4=N2,3.16228
124,665964,C1OC2=C(O1)C=C(C=C2)C3=NN4C(=NN=C4S3)CN5C=NC6=CC=CC=C65,15.8489
125,666412,COC1=CC=CC(=C1)C2=NOC(=N2)C3=CN=CC=C3,19.9526
126,666498,COC1=C(C=C(C=C1)C2=NOC(=N2)CCCC(=O)NCCC3=CC=CC=C3)OC,22.3872
127,2997551,CN1C(=NN=C1SCC2=NN=C(O2)C3=CC=C(C=C3)F)C4COC5=CC=CC=C5O4,5.01187
128,2997683,CN1C=CN=C1SCC(=O)NC2=C(C=CS2)C#N,25.1189
129,2997847,C1COCCN1S(=O)(=O)C2=CC=C(S2)C3=C(COC3=O)C4=CC=CC=C4,31.6228
130,2997950,COC1=CC=C(C=C1)C(CNC(=O)C2=CC(=O)NC3=CC=CC=C32)N4CCCC4,14.1254
131,2605165,C1CCN(C1)C(=O)CSC2=NN=C(N2C3=CC=CC=C3)C4=CC=CS4,7.94328
132,2079240,CC1=CC=C(O1)/C=C/C2=CC3=C(C(C2)(C)C)SC(=C3C#N)NC(=O)CSC4=NNC(=N4)N,22.3872
133,2426783,COC1=CC=C(C=C1)CN2C(=C(C3=NC4=CC=CC=C4N=C32)C(=O)NCC5=CC=CO5)N,14.1254
134,2161188,CC1=CC(=C(N1CCC2=CC=C(C=C2)F)C)C(=O)CSC3=NN=C(S3)N,7.07946
135,2998032,COC1=C(C=C(C=C1)C(=O)NCC(C2=CC=C(C=C2)F)N3CCOCC3)S(=O)(=O)N4CCCC4,15.8489
136,2998040,CC(C(=O)NCC1=CC2=C(C=C1)OCO2)N3C4=CC=CC5=C4C(=CC=C5)S3(=O)=O,10
137,135415419,CCCCC1=NNC2=C1/C(=N/O)/CC(C2)C3=CC=CC=C3,14.1254
138,350843,CC1CN=C(S1)NC2=CC=CC3=CC=CC=C32,11.2202
139,6461550,COC1=CC=CC=C1CNCC2=CC=CS2.Cl,0.794328
140,1107330,COC1=C(C=C(C=C1)C2=NNC(=C2)C3=C(C4=C(C(=C3O)OC)OC=C4)OC)OC,25.1189
141,2161195,CCN1C(=NN=C1SCC(=O)N2CCN(CC2)S(=O)(=O)C3=CC=CC=C3)C4=CC=CS4,17.7828
142,2091447,CN1C(=O)C(=C(N(C1=O)CC2=CC=CC=C2)N)C(=O)CN3CCOCC3,7.94328
143,135415449,C1COCCN1CCCN2CC(=C(C2=N)C3=NC(=CS3)C4=CC=C(C=C4)F)O,28.1838
144,2121339,C1COC2=C(O1)C=CC(=C2)SCN3C(=O)C4=CC=CC=C4N=N3,28.1838
145,2116120,CCOC1=CC=C(C=C1)N2C(=NN=C2SCC3=C(ON=C3C)C)CC4=CC=CC=C4,12.5893
146,704116,CC1=NC(=C2C3=C(CCC3)SC2=N1)NCC4=CC=CO4,25.1189
147,2120718,C1CN(CCN1C2C3=CC=CC=C3C4=CC=CC=C24)C(=O)C5=NNC(=O)C6=CC=CC=C65,31.6228
148,2060921,CC1=C(C(=NO1)C2=CC=CC=C2)C(=O)NCCC3=CNC4=CC=CC=C43,12.5893
149,2999021,C1CN(CCN1C(=O)COC(=O)CCC(=O)C2=CC=CS2)C(=O)C3=CC=CO3,39.8107
150,2999101,CCC1=CC=C(C=C1)C2=NN3C(=NN=C3SC2)C4=CC=CS4,2.81838
151,2115978,COC1=CC=CC=C1NC(=O)COC(=O)C2=CC=C(C=C2)S(=O)(=O)NCC3=CC=CO3,11.2202
152,2104232,C1COC2=C(O1)C=CC(=C2)C(=O)OCC3=NN=C(O3)C4=CC=CC=C4,28.1838
153,595193,CCN1C2=CC=CC=C2N=C1N,17.7828
154,2083491,CC1=NC2=CC=CC=C2C(=C1)C(=O)NC3=CC=C(C=C3)N4CCOCC4,14.1254
155,2999625,CCCN1C2=CC=CC=C2N=C1NC(=O)C3CCN(CC3)S(=O)(=O)C4=CC=CS4,15.8489
156,2434657,CCN(CC)S(=O)(=O)C1=CC=C(C=C1)NC(=O)COC(=O)C2=CC=C(O2)Br,3.16228
157,733062,CCS(=O)(=O)C1=CC(=C(C=C1)O)NC(=O)NC2=CC=CC=C2,4.46684
158,2999794,CC1=CC(=NN1CCCNCC(C2=CC=CC=C2)O)C.C(=O)(C(=O)O)O,7.07946
159,2882730,C1CN(CC2=CC=CC=C21)CC(COCC3COC4=CC=CC=C4O3)O.Cl,0.446684
160,2999949,C1CN(CCN1CCC2=CC=CC=N2)C3CC(=O)N(C3=O)C4=CC=C(C=C4)Cl,12.5893
161,2999963,CC1=C(SC2=C1C(=O)NC(=N2)CSC3=NC4=CC=CC=C4N3CCOC)C(=O)OC.CN(C)C=O,10
162,2575543,C1=CC=C(C=C1)CNC(=O)CSC2=NC3=CC=CC=C3C(=O)N2CCCO,39.8107
163,6603002,C1=CC=C(C=C1)OC2=CC=CC(=C2)NC(=O)CN3C=CSC3=N.Cl,1
164,2161090,C1CN(C2=CC=CC=C21)CC(=O)NC(=O)NCC3=CC=CO3,14.1254
165,3000138,C1CN(CCN1C(=O)CN2C=C(C=CC2=O)C(F)(F)F)S(=O)(=O)C3=CC=CC=C3,11.2202
166,2326513,CCN(CC)S(=O)(=O)C1=C(C=CC(=C1)C(=O)NC2=CC=NC=C2)Cl,2.23872
167,2368170,CC\1(C2=CC=CC=C2N(/C1=C\C(=O)COC(=O)CN3N=C(N=N3)C4=CC=CC=C4)C)C,31.6228
168,2502130,C1=CC=C2C(=C1)C(=O)N(N=N2)COC(=O)CSCC(=O)NC3=CC=C(C=C3)Cl,25.1189
169,3232584,CCNC1=NC=C2C(=N1)N(C(=O)C(=N2)C3=CC=CC(=C3)C#N)CCC#N,0.0316228
170,3232586,COC1=CC=C(C=C1)C(=O)N2CCC3(CC2)CN(C3)C4=CC=C(C=C4)C5=CC=CC=C5,15.8489
171,3232587,COC1=CC=CC=C1C2=NC3=CC=CC=C3C(=N2)NCC4=CC=CC=C4,1.58489
172,3232588,C1=CC=C2C(=C1)C(=NC(=N2)C3=COC=C3)NC4=CC=NC=C4,15.8489
173,3232591,COC1=CC=CC(=C1)C2=CC3=C(C=C2)N=CN=C3NCCN4CCOCC4,25.1189
174,3232594,CN1CCN(CC1)C2=NC=C3C(=N2)N(C(=O)C(=N3)C4=CC=CC=C4)CCC#N,25.1189
175,3232595,C1OC2=C(O1)C=C(C=C2)C3=CN=CN=C3NCC4=CC=CC=C4,12.5893
176,3232596,CN(C)C1=NC=C2C(=N1)N(C(=O)C(=N2)C3=CC=CC=C3)C[C@H]4CCCO4,12.5893
177,3232598,CC1=CC=CC=C1C2=CC(=NC=N2)N(C)C,39.8107
178,3232599,COCCNC1=NC=NC2=C1C=C(C=C2)C3=CC(=CC=C3)OC,39.8107
179,3232600,COC1=CC2=C(C=C1)NC=C2CCNC3=NC(=NC=C3)C4=COC=C4,12.5893
180,3232602,CN(C)C1=CC=C(C=C1)C2=CN=CN=C2NCC3=CC=CC=C3,39.8107
181,3232603,CC(=O)N1CCC2(CCCN(C2)C3=CC=CC(=C3)C4=CC=CC=C4)CC1,39.8107
182,3232604,CC1=C(C(=NO1)C)C2=CC3=C(C=C2)N=CN=C3NCCC4=CNC5=C4C=C(C=C5)OC,6.30957
183,3232606,CC1=CC=CC=C1C2=NC3=CC=CC=C3C(=N2)N(C)CC4=CC=CO4,3.16228
184,3232607,CN(C)C(=O)C1=CC=C(C=C1)C2=NC=CC(=N2)NCC3=CC=CC=C3,39.8107
185,3232608,C1CN(CCN1)C2=NC(=NC3=CC=CC=C32)C4=CC=CC=C4Cl,31.6228
186,3232610,COC1=CC(=C(C=C1)CNC2=NC=NC3=C2C=C(C=C3)C4=CC5=C(C=C4)OCO5)OC,2.51189
187,3232612,COC1=CC=C(C=C1)C2=NC3=CN=C(N=C3N(C2=O)CC4=CC=CS4)OC,7.94328
188,3232617,C1CNCCC12CCN(CC2)C3=CC=CC=C3,15.8489
189,3232619,CNC1=NC=NC2=C1C=C(C=C2)C3=CC(=CC=C3)OC,15.8489
190,3232628,CC(=O)N1CCC2(CCN(CC2)CC3=CC=CC=C3)CC1,15.8489
191,3232632,CN(C)C(=O)C1=CC=C(C=C1)C2=NC3=CC=CC=C3C(=N2)NCCC4=CNC5=C4C=C(C=C5)OC,19.9526
192,3232634,COC1=CC(=C(C=C1)CNC2=NC=NC(=C2)C3=CC(=CC=C3)NS(=O)(=O)C)OC,39.8107
193,3232637,C1=CC=C(C=C1)NC2=NC(=NC3=CC=CC=C32)C4=COC=C4,39.8107
194,3232640,C1CN(CCC12CCN(CC2)C(=O)C3=CC=NC=C3)C(C4=CC=CC=C4)C5=CC=CC=C5,3.16228
195,3232641,CC(=O)N1CCC[C@]2(C1)CCN(C2)C3=NC=CC=N3,15.8489
196,3232643,CC1=C(C(=NO1)C)C2=NC3=CC=CC=C3C(=N2)N(C)C,19.9526
197,3232645,C1=CC=C2C(=C1)C(=NC(=N2)C3=CC=CC=C3Cl)NC4=CC=NC=C4,39.8107
198,3232647,C1CNCCC1NC2=NC(=NC3=CC=CC=C32)C4=COC=C4,7.94328
199,3232649,C1CC2(CCNCC2)CN(C1)C3=CC=CC=N3,10
200,3232650,CC1=CC=CC=C1C2=CN=CN=C2NCCC3=CNC4=C3C=C(C=C4)OC,1.25893
201,3232651,COC1=CC=CC=C1C2=NC3=CC=CC=C3C(=N2)NCC4=CC=CS4,1
202,3232653,C1=CC=C(C=C1)NC2=NC=NC3=C2C=C(C=C3)C4=COC=C4,19.9526
203,3232655,CN(C)C(=O)C1=CC=C(C=C1)C2=NC3=CC=CC=C3C(=N2)N4C=CN=C4,15.8489
204,3232656,C1CC2(CCN(CC2)C(=O)C3=CC(=CC=C3)F)CN(C1)CC4=CC(=CC(=C4)C(F)(F)F)C(F)(F)F,10
205,3232657,COC1=CC=CC(=C1)C2=NC=CC(=N2)NCC3=CC=CC=C3OC,0.398107
206,3232663,CN(CC1=CC=CO1)C2=NC(=NC=C2)C3=CN=CC=C3,7.94328
207,3232669,CC(C)CN1CC[C@]2(C1)CCCN(C2)C(=O)C3=CSN=N3,0.501187
208,3232671,CN(C)C1=NC=C2C(=N1)N(C(=O)C(=N2)CCC3=CC=CC=C3)C4CC4,10
209,3232672,COC1=CC2=C(C=C1)NC=C2CCNC3=NC=NC=C3C4=CN=CC=C4,12.5893
210,3232674,C1C[C@@]2(CCN(C2)C3=CC=C(C=C3)C4=CC=CC=C4)CNC1,39.8107
211,3232675,C1=CC=C2C(=C1)C(=NC(=N2)C3=CC=CC(=C3)C#N)NCC4=CC=CS4,5.01187
212,3232676,COC1=CC=CC(=C1)C2=NC=CC(=N2)N3C=CN=C3,7.94328
213,3232677,CN(C)C1=NC(=NC2=CC=CC=C21)C3=CC=CC(=C3)C#N,25.1189
214,3232679,CC(C)NC(=O)N1CCCC2(C1)CCN(CC2)C(=O)C3=CC=CO3,2.51189
215,3232680,CC1=CN=C(C=N1)CNC2=NC(=NC3=CC=CC=C32)C4=COC=C4,19.9526
216,3232681,COC1=CC=C(C=C1)C(=O)N2CCC3(CCN(CC3)C(C4=CC=CC=C4)C5=CC=CC=C5)CC2,12.5893
217,3232683,C1CC2(CCN(CC2)C(=O)C3=CC=NC=C3)CN(C1)C(=O)NC4=CC=CC(=C4)C#N,25.1189
218,3232692,C1=CC=C(C(=C1)C2=CC3=C(C=C2)N=CN=C3NCC4=CC=CS4)C(F)(F)F,10
219,3232693,CC1=CC=CC=C1C2=NC=CC(=N2)NC3=CC=C(C=C3)F,19.9526
220,3232696,C1CC1N2C3=NC=NC=C3N=C(C2=O)CCC4=CC=CC=C4,15.8489
221,3232698,CC1=CC=CC=C1C2=CN=CN=C2NCC3=CC=CC=C3,12.5893
222,3232699,CN(C)C1=NC=C2C(=N1)N(C(=O)C(=N2)C3=CC=C(C=C3)F)C[C@H]4CCCO4,1.25893
223,3232706,C1=CC=C(C=C1)CNC2=NC=NC(=C2)C3=CN=CC=C3,15.8489
224,3232708,C1CN(CCN1)C2=NC=C3C(=N2)N(C(=O)C(=N3)C4=CC=C(C=C4)F)CC5=CC=C(C=C5)F,19.9526
225,3232709,CC1=NC2=CN=C(N=C2N(C1=O)CC3=CC(=CC=C3)OC)N4CCNCC4,15.8489
226,3232711,CC(=O)N1CCC2(CCCN(C2)C(C3=CC=CC=C3)C4=CC=CC=C4)CC1,7.94328
227,3232712,CC1=NC2=CN=C(N=C2N(C1=O)CC3=CC=CS3)N4CCN(CC4)C,15.8489
228,3232715,COC1=CC=CC(=C1)CN2C(=O)C=NC3=CN=C(N=C32)OC4=CC(=CC=C4)Cl,39.8107
229,3232716,CS(=O)(=O)N1CCC2(CCCN(C2)C3=NC=CC=N3)CC1,15.8489
230,3232717,C1CC2(CCN(CC2)C(=O)C3=CC=CO3)CN(C1)C4=CC=CC(=C4)C5=CC=CC=C5,39.8107
231,3232718,CC1=CC(=CC=C1)CNC2=NC(=NC=C2)C3=CC=CC=C3CN(C)C,2.51189
232,3232721,CC1=C(C(=NO1)C)C(=O)N2CCC3(CCN(CC3)CC4=CC(=CC(=C4)C(F)(F)F)C(F)(F)F)CC2,39.8107
