,PUBCHEM_CID,smile_1851,p450-cyp2c19-Potency
33,647498,CC1(C(=O)N(C(=N1)SCCC#N)C2=CC=CC=C2)CCC#N,25.1189
34,647585,CC1=CC(=CC=C1)NC(=O)CSC2=NNC(=N2)C3=CC=NC=C3,1.99526
35,647748,CC1=CC=CC=C1OCC(=O)NC2=CC(=C(C=C2)N3CCN(CC3)C(=O)C(C)C)Cl,8.91251
36,6602522,C1CCC(=CC1)CCNC(=O)CN2CCN(CC2)C3=NC=CC=N3.Cl,4.46684
37,647933,C1CN(CCN1C2=CC=CC=C2)C(=O)NC3=CC(=CC=C3)NC(=O)N4CCN(CC4)C5=CC=CC=C5,5.01187
38,647937,CC(=O)NC1(CCN(CC1)CC(=O)NC2CCCCC2)C3=CC(=CC=C3)F,3.54813
39,647987,CC1=C(C=C(C=C1)Cl)N2CCN(CC2)S(=O)(=O)C3=CC4=C(C=C3)OCCO4,3.98107
40,648007,CCOC(=O)C1=C(SC(=C1C)C)NC(=O)CSC2=NN=NN2C,10
41,648068,CCOC1=CC=CC(=C1)C2C(=C(C(=O)N2CC3=CC=NC=C3)O)C(=O)C4=CC=C(O4)C,39.8107
42,648175,CCN1C(=NN=C1SCC(=O)NC(C)(C)C)CC2=CC=CC=C2,14.1254
43,648218,CCOC(=O)C1=CC=C(C=C1)NC(=O)C2CCCO2,14.1254
44,648236,CCC(C)(C)N1C(=NN=N1)C(C(C)C)N(CCCO)CC2=CC3=C(C=CC(=C3)C)NC2=O,25.1189
45,648282,COC1=C(C=C2C(=C1)C=C(C(=O)N2)CN(CCCO)S(=O)(=O)C3=CC=CC=C3Cl)OC,39.8107
46,648428,CC(C)CN1C(=CN=C1SCC(=O)N2CCOCC2)C3=CC=C(C=C3)Cl,12.5893
47,6602523,CCC1=CC2=C(N=CN=C2S1)NCC3=CC=CO3.Cl,4.46684
48,648672,C1=CC(=CC=C1C2=C(C(=NN2)N)Cl)Br,14.1254
49,648771,CCCCN1C(=NN=C1SCC(=O)NC(C)(C)C)C2=CC=CO2,2.81838
50,648836,CC1=CC=C(C=C1)C(C2=NN=NN2CC3CCCO3)N4CCN(CC4)C(=O)C5=CC=CO5,12.5893
51,648878,CCN(CC)C1=CC2=C(C=C1)C(=C(C(=O)O2)Br)Cl,12.5893
52,649015,C1C(C2=CC3=C(C=C2NC1=O)OCO3)C4=CC=CS4,1.12202
53,649054,CCCCOC(=O)CSC1=NN=C(O1)C2=CC(=C(C(=C2)OC)OC)OC,15.8489
54,649165,CC1=C(C=C(C=C1)NC(=O)C2CCN(CC2)S(=O)(=O)C3=C(C=CC(=C3)OC)OC)C,14.1254
55,649283,COC1=C(C=C(C=C1)C2=NOC(=N2)C3CCCN(C3)C(=O)C4=CC=CC=C4OC)OC,11.2202
56,649453,CCN1C(=NN=C1SCC(=O)NC2=C(C=CC(=C2)OC)OC)COC3=CC=CC=C3,2.81838
57,649650,CC1=CC=C(C=C1)SCC(=O)NC2=NN=C(S2)COC,3.54813
58,649754,C1CC(OC1)CN2C(=CN=C2N)C3=CC=CC=C3,5.62341
59,649949,C1CCCN(CC1)C2=CC=CC=C2NC(=O)CSC3=NC4=CC=CC=C4O3,15.8489
60,6398918,CCOC(=O)CC(=O)CSC1=NC2=C(C3=CC=CC=C3N2)N=N1,14.1254
61,650023,C1CCCN(CC1)C2=C(C=CC=N2)C(=O)NC3CCCC3,8.91251
62,135439099,C1CN(CCC1C2=NC3=C(C(=O)N2)N=NN3CC4=CC=CC=C4Cl)C(=O)CC5=CC=CS5,1.99526
63,650100,COC1=CC=CC=C1OCCN2C=C(C3=CC=CC=C32)C(=O)C4=CC=CO4,1
64,6602529,COC1=CC=CC(=C1)C(=O)NC2CC3CCCC(C2)N3CC(=O)NC4=CC=CC=C4.Cl,0.1
65,650250,CC1=CC=C(C=C1)C2=CSC(=N2)N3CCC(CC3)NS(=O)(=O)C4=CC5=C(C=C4)OCCO5,3.16228
66,650341,CC1=CC=C(C=C1)NC(=O)NC2CCN(CC2)S(=O)(=O)C3=CC=C(C=C3)OC,12.5893
67,650434,CC1=CC(=NN1CC(=O)NC2=NC(=CS2)C3=CC=C(C=C3)OC)C,3.16228
68,650486,CN1C(=NN=C1SCC2=CC=CC=C2)CNC(=O)NC3=CC=CC=C3,7.07946
69,650558,C1CC2=CC=CC=C2N(C1)C(=O)CSC3=NN=C(O3)CNC4=CC=CC=C4,4.46684
70,650691,CCCCNC(=O)NS(=O)(=O)C1=CC=C(O1)C(=O)OC(C)C,39.8107
71,6602999,CCOC(=O)C1CC2=C(CN1)NC3=CC=CC=C23.Cl,1.58489
72,650985,CC1=C(N2C(=NC=N2)N=C1C)NCCC3=CC=C(C=C3)OC,15.8489
73,651025,CCCN1CC=C2C(C1)C(C(C(=C2C#N)N)(C#N)C#N)C3=C(C=CC(=C3)OC)OC,14.1254
74,651076,CCC(=O)NC1=CC(=CC=C1)NC(=O)CSC2=NN=NN2CC3=CC=CC=C3,10
75,651086,CC1=CC(=NN1C2=NC(=CC(=N2)C(F)F)C3=CC=C(C=C3)OC)C,28.1838
76,651189,COC1=C(C=C(C=C1)Cl)NC(=O)CN2C(=O)CSC2=O,39.8107
77,651205,CCC1=C(N=C2C(=C(NN2C1=O)C)C#N)C,7.07946
78,651207,CCOC(=O)N1CCN(CC1)C(=O)C2=CC(=C(C=C2)Cl)S(=O)(=O)N3CCOCC3,39.8107
79,135450659,CC1=CC=C(C=C1)CN2C3=C(C(=O)NC(=N3)C4CCN(CC4)C(=O)CC5=CC=CS5)N=N2,12.5893
80,651338,CCC(=O)N(CC1=CC=CO1)C2=NC(=CS2)C3=CC=CC=C3,5.62341
81,135450662,C1CCC2=C(C1)C3=C(S2)NC(=O)CN=C3C4=CC=CS4,15.8489
82,651769,C1=CC(=C(C(=C1)Cl)COC(=O)CNC(=O)C2=CC=CO2)F,15.8489
83,651959,C1CCC(C1)N2C(=NN=N2)C(C3=CC=C(C=C3)Cl)N4CCN(CC4)CC5=CC=NC=C5,0.223872
84,652325,CCOC(=O)CSC1=NNC(=N1)C2=CN=CC=C2,11.2202
85,652549,CC(C)C(C(=O)NCC1CCCO1)N(CC2=CC=CO2)C(=O)CNS(=O)(=O)C3=CC=C(C=C3)F,11.2202
86,611711,CCCCN1C2=C(N=C1Cl)N(C(=O)N(C2=O)C)C,31.6228
87,652700,COCCNC(=O)COC(=O)C1=NSC(=C1Cl)Cl,7.07946
88,652799,CCOC1=C(C=C(C=C1)C2=NN(N=N2)CC(=O)NC3=C(C=CC(=C3)OC)OC)OCC,5.62341
89,2054625,C1COCCN1/C=C(/C#N)\C2=CC=CC=C2,4.46684
90,653412,CN1C(=NN=C1SCC(=O)NCC2=CC3=C(C=C2)OCO3)C4=CC5=CC=CC=C5C=C4O,5.01187
91,135417689,CC1=CC(=CC=C1)NC(=O)N(CC2=NC3=CC=CC=C3C(=O)N2)C4CCCC4,15.8489
92,6603457,CCC(C1=NN=NN1CCOC)N2CCN(CC2)C(=O)C3=CC=CO3.Cl,3.98107
93,653646,C1CN(CCN1C2=CC(=NC3=NC=NN23)C4=CC=CC=C4)S(=O)(=O)C5=CC=CC=C5,11.2202
94,653695,C1CC2=CC=CC=C2N(C1)C(=O)CSC3=NNC(=N3)C4=CC=CC=C4O,2.51189
95,653799,CCC1=NN=C2N1N=C(S2)C3=CC=C(C=C3)NC(=O)C4=CC=CO4,28.1838
96,627902,CN(C)C1=CC=C(C=C1)N=CC2=C(OC(=N2)C3=CC=CC=C3)O,1.77828
97,653914,CC(C)CCNC(=O)CN(CC1=CC=CS1)C(=O)CN2N=C(N=N2)C3=CC(=C(C=C3)OC)OC,1.12202
98,654042,CC1=NNC(=O)N=C1NCC2=CC=CC=C2Cl,28.1838
99,654046,COC1=CC=C(C=C1)N2CC(CC2=O)C(=O)OCC(=O)C3=CC(=CC=C3)OC,8.91251
100,654068,COC1=CC=CC(=C1)C2=NN3C(=C2)N=C(C=C3N4CCC5(CC4)OCCO5)C6=CC=CC=C6,1.99526
101,654078,CCN1C(=NN=C1SCC2=CC=C(C=C2)C#N)C3=CC=C(C=C3)S(=O)(=O)N4CCCCC4,12.5893
102,654182,CCOC(=O)CC1=CC(=O)N2C(=N1)C(=C(N2)C)C3=CC=CC=C3,22.3872
103,6398932,CCOC1=CC=CC(=C1)/C(=C/2\C(N(C(=O)C2=O)CC3=CC=CO3)C4=CC=NC=C4)/O,10
104,654244,CC1CCN(CC1)C(=O)CSC2=NC3=C(N2C)N=CC=C3,8.91251
105,654363,C1CCC(CC1)NC(=O)C(C2=CC=CS2)N(CC3=CC=CS3)C(=O)C4=CC=CO4,1.58489
106,654435,C1=CC=C2C(=C1)N=C(O2)SCC(=O)NC3=NC4=CC=CC=C4S3,1.77828
107,5373216,COC1=NNC2=C1N=CN=N2,15.8489
108,654546,CCC1=CC=C(C=C1)N2CC(CC2=O)C(=O)NC3=NCCS3,15.8489
109,654623,COC1=CC=C(C=C1)CNC(=O)CN(CC2CCCO2)C(=O)CNS(=O)(=O)C3=CC=CC=C3,14.1254
110,654635,CC1=CC=C(O1)C(=O)C2=C(C(=O)N(C2C3=CC(=C(C=C3)O)OC)CCC4=CC=CC=C4)O,11.2202
111,654761,CC1=CC=C(N1C(CC2=CC=CC=C2)C(=O)O)C,22.3872
112,655127,CC1=CC(=NN1C2=NC(=NC(=N2)NC(C)C)NC(C)C)C,35.4813
113,655183,CC1=CC(=C2C(=C1)C=C(C(=O)N2)CN(CC3=CC=CC=C3OC)CC4=NN=NN4CC5CCCO5)C,12.5893
114,5768421,CC1=C(C=CC(=C1)/C(=C\2/C(N(C(=O)C2=O)CCCOC)C3=CC=NC=C3)/O)OC(C)C,11.2202
115,655401,CCN(C1CCCCC1)S(=O)(=O)C2=CC=C(C=C2)S(=O)(=O)NCC3=CC=NC=C3,1.58489
116,655439,CCOC(=O)C1=C(NC(=O)NC1C2=COC=C2)C,7.94328
117,655575,CC(C)CCN1C(=NN=N1)C(C2=CC=C(C=C2)F)N3CCN(CC3)C(=O)C4=CC=CO4,4.46684
118,5769094,COC(=O)C1=NOC(=C1)/C=C/C2=CC=CC=C2,35.4813
119,655776,C=CCN1C2=CC=CC=C2N=C1NCC3=CC=CC=C3,3.16228
120,655857,C1CN(CC2=CC=CC=C21)C3=NC=NC4=C3N=NN4CC5=CC=CC=C5,3.54813
121,655926,CC1=CC(=C(C=C1)C)NC(=O)C(CC2=C(C(=CC=C2)OC)OC)C3=NNN=N3,11.2202
122,655948,CC1=NC2=NC=NN2C(=C1)N3CCN(CC3)C4=NC5=CC=CC=C5S4,14.1254
123,656157,C1=CC=C(C=C1)N2C3=C(C=N2)C(=O)OC(=N3)C4=CC=CO4,7.07946
124,656183,CC(C)OC(=O)NCCOC(=O)NC1=CC(=CC=C1)Cl,14.1254
125,656216,C1=CC=C(C(=C1)C2NC3=CC=CC4=C3C(=CC=C4)N2)O,3.16228
126,656232,C1=CC=C(C=C1)CC2=C3C(=O)C=CNC3=CC=C2,12.5893
127,656257,CC1=CC=CC=C1OCC2CN3C4=C(N=C3O2)N(C(=O)NC4=O)C,1.99526
128,656272,CC1=CC=C(C=C1)C2=C(C3=NC4=C(CCCC4)C(=O)N3N2)C,3.98107
129,656290,CC1=CC(=CC=C1)NC(=O)CN2C3=CC=CC=C3OC2=O,3.16228
130,656355,CCC1=NN=C(S1)NC(=O)C2CCN(CC2)C(=O)NC3CCCCC3,0.158489
131,657488,CC1=CC=C(C=C1)C(=O)CNC2=NC3=C(N2CC4=CC=CC=C4)C(=O)NC(=O)N3C,5.62341
132,6449251,CC1(CC2=CC(=C(C=C2/C(=C/C(=O)N3CCOCC3)/N1)OC)OC)C.Cl,22.3872
133,5940036,CCOC(=O)C1=C(N2C(=C(C1C3=CC=CO3)C(=O)OCC)S/C(=C\C4=CC=CO4)/C2=O)N,8.91251
134,658313,CC1=CC(=NN1S(=O)(=O)CC2=CC=CC=C2)C,15.8489
135,658411,CC1=CC(=NC(=N1)N2C(=CC(=N2)C)C)OC3=CC=C(C=C3)C(=O)OC,7.94328
136,6602578,CCOCCN1CCC(C(C1)C)OC(=O)C.Cl,3.16228
137,658614,CCN(CC)C1=CC2=C(C=C1)C(C(=C(O2)N)C#N)C3=CN=CC=C3,0.891251
138,658723,COC(=O)C1=C(C2=C(N1)C=CC(=C2)Br)NC(=O)CN3CCN(CC3)C4CCCCC4,15.8489
139,658813,CCC1=C(N2C3=CC=CC=C3N=C2C(=C1C)C#N)NC4=C(N(N(C4=O)C5=CC=CC=C5)C)C,25.1189
140,135415833,C1CSC2=NC(=C(C(=O)N21)CC3=CC=CC=C3)O,14.1254
141,658879,CCC(C(F)(F)F)(C(F)(F)F)NC(=O)NC1=CC(=C(C(=C1)OC)OC)OC,12.5893
142,16411130,CC1=NC(=NC2=CC=CC=C12)/N=C(\N)/NC3=CC=CC=C3,39.8107
143,659321,CCOC1=CC=C(C=C1)CSC(CC(=O)O)C(=O)O,14.1254
144,659516,C1C(CNC1=O)C2=CC3=C(C=C2)OCO3,39.8107
145,659575,CCSC1=NN=C(S1)NC(=O)C(C(F)(F)F)C(F)(F)F,19.9526
146,659654,C1=CN=CC=C1C2=NC3=CC(=C(C=C3N2)F)F,7.07946
147,659658,CC1=C(C=NN1C)C=NCCOCC2=CC=CC=C2,22.3872
148,6603569,CC1=CC2=C(C=C1)N([C@@H]3[C@H]2CN(CC3)C)S(=O)(=O)C4=CC=C(C=C4)F.Cl,28.1838
149,4323243,CN(C)CCN=CC1=C(N(C(=O)NC1=O)CC=C)O,35.4813
150,659756,C1CC(=O)N(C1)CC(CN2CCOCC2)SC3=NN=NN3C4=CC=CC=C4,14.1254
151,659775,CCOC(=O)C1C(C(NC1=O)C)C2=CC=CC=C2,31.6228
152,659795,CC1=CC(=NC(=N1)N2CCOCC2)OC3=CC=C(C=C3)C4=CC=CC=C4,14.1254
153,659824,CCN(CC)S(=O)(=O)C1=CC=CC2=C1C=CC=C2N(C)C,3.98107
154,659900,COC1=C(C=C(C=C1)CC(=O)NCC2=CC=CC=N2)OC,28.1838
155,659902,CC1CCCCN1C2=NC(=NC3=CC=CC=C32)C4=CC=NC=C4,0.354813
156,659936,CC1=CC=C(C=C1)C(=O)C2=C(NN=C2)C3=C(C=CC(=C3)Cl)O,0.707946
157,660120,CC1=CC(=CO1)C2=CC(=NC(=C2C#N)N)C3=CC=C(C=C3)Cl,0.281838
158,660285,COC1=CC=C(C=C1)S(=O)(=O)N2CCC(CC2)N3CCCCC3,39.8107
159,660304,C1=CC=C(C=C1)OCC(=O)NC2=CC=C(C=C2)C3=NN=C(O3)C4=CC=CO4,10
160,5389248,COC1=CC(=C(C=C1)C2/C(=C(\C3=CC=C(C=C3)Cl)/O)/C(=O)C(=O)N2CCN4CCOCC4)OC,39.8107
161,660522,CC(C)OC(=O)C(C#N)C1=NC2=CC=CC=C2N=C1N3CCN(CC3)CC4=CC=CC=C4,0.00562341
162,5389254,CC1=C(C(=O)C2=C(O1)C=C(C=C2)O)C3=CN(N=C3)C4=CC=CC=C4,12.5893
163,660546,CC1=CC(=CC=C1)OCC(=O)N2CCC(CC2)N3CCCCCC3,39.8107
164,660635,CC1=C2CCCCC2=C3C(=C(SC3=N1)C#N)N,11.2202
165,135420605,CCCCC1=C(N=C(N(C1=O)C2=CC=CC=C2)SCCN(C)C)O,6.30957
166,660831,COC1(C2(C(C2(C(=N1)NC(=O)NC3=CC=CC=C3)C#N)C4=CC=CC=C4)C#N)OC,5.01187
167,660995,CC1=CC=C(C=C1)S(=O)(=O)NCCSC2=NN=NN2C,5.01187
168,661009,COC1=CC=CC(=C1)C(=O)NC2=CC=C(C=C2)C3=NN=C(O3)C4=CC=CO4,2.81838
169,661037,CNC1=C(N=C(O1)C2=CC=C(C=C2)Cl)C#N,11.2202
170,661055,C1CCN(C1)C2=C(N=C(O2)C3=CC=C(C=C3)F)C#N,14.1254
171,661098,CC(=O)NC1=CC=C(C=C1)NC2=C3C=NN(C3=NC=N2)C4=CC=CC=C4,2.81838
172,661170,C1=CC(=CC(=C1)NC(=O)CC2=CC=C(C=C2)Cl)C3=NN=C(O3)C4=CC=CO4,0.0158489
173,661178,CCCOC1=CC=C(C=C1)CSC(CC(=O)O)C(=O)O,0.223872
174,661187,C1COCCN1CCCNC2=C3C=NN(C3=NC=N2)C4=CC=CC=C4,15.8489
175,661203,CC1CCC2=C3N1C4=C(C=C(C(=C4)C#N)C#N)OC3=CC=C2,3.98107
176,661217,C1=CC=C(C=C1)CNC2=C(N=C(O2)C3=CC=CS3)C#N,1.58489
177,661251,COC1=CC=C(C=C1)CC(=O)NC2=CC=CC(=C2)C3=NN=C(O3)C4=CC=CO4,0.446684
178,661259,CCOC(=O)C1=CC=C(C=C1)NC(=O)COC2=CC=CC=C2OC,3.98107
179,661296,CCC1=C(NC2=C1C=C(C=C2)Br)C(=O)O,11.2202
180,661300,C1=CC=C(C=C1)C2=NC(=S)N(N2)C3=CC=CC=C3,4.46684
181,661349,CC1=C(C(=C(N1NC(=O)C2=CC=NC=C2)C)C(=O)C)C(=O)C,0.199526
182,661406,CC1(CC(=O)C(C(=O)C1)CCCN2C(=O)C3=CC=CC=C3C2=O)C,39.8107
183,661455,C1=CC=C(C(=C1)CNN2C=NN=C2)O,0.199526
184,9568659,C/C(=N\O)/C1=CC2=C(C=C1)NC=C2,11.2202
185,661502,C1=CC=C2C(=C1)C(=O)N(C(N2)C3=CC=C(C=C3)F)CC4=CC=CO4,3.54813
186,661513,CCN1C(=NN=C1SCC(=O)NC2=CC=CC=C2C(=O)OC)C3=CC=C(C=C3)N,0.177828
187,661518,CCC1=CC2=C(C=C1OC(=O)N3CCOCC3)OC=C(C2=O)C4=NC5=CC=CC=C5N4,15.8489
188,661528,CC1=CC=C(C=C1)C2NC3=CC=CC=C3C(=O)N2CC4=CC=CO4,2.81838
189,661596,COC1=CC=CC(=C1)C2=CC(N3C(=NN=N3)N2)C4=CC=CC=C4,0.158489
190,661601,CCC(=O)NC1=C(C=CC(=C1)C2=NN(C(=O)C3=CC=CC=C32)C)N4CCCCC4,15.8489
191,661612,CCOC(=O)CNS(=O)(=O)C1=C(C=CC(=C1)C2=NN(C(=O)C3=CC=CC=C32)C)C,3.16228
192,661761,CCOC(=O)C1=C(C2=CC3=C(C=C2N1)OCO3)NC(=O)CN4CCC5=CC=CC=C5C4,2.23872
193,661794,CC1=NN2C(=C1)NC(S2)NC3=CC=CC=C3,14.1254
194,661999,CC1=CC(=NO1)N2C(C(=C(C2=O)O)C(=O)C3=CC4=CC=CC=C4O3)C5=C(C(=CC=C5)OC)OC,15.8489
195,6881185,COCCCNC(=O)C1=C(N(C2=NC3=CC=CC=C3N=C12)/N=C/C4=CC=CC=N4)N,10
196,662109,CCOC(=O)C1=C(N(C2=C1C(=C(C=C2)OC)NC(=O)CN3CCCCC3)C)C,11.2202
197,5775,CC1=CC=C(C=C1)N(CC2=NCCN2)C3=CC(=CC=C3)O,25.1189
198,662243,C1C(C(=O)N(C1=O)CC2=CC=CC=C2)N(C3CC(=O)N(C3=O)CC4=CC=CC=C4)O,1.99526
199,662260,CCCCCCOC(=O)C(C#N)C1=NC2=CC=CC=C2N=C1N3CCN(CC3)CC,8.91251
200,662340,CCOC(=O)C1=CC2=C(N=C3C(=CC=CN3C2=O)C)N(C1=NC(=O)C4=CN=CC=C4)CCCOC,28.1838
201,662344,CCOC(=O)C1=C(C2=C(N1)C=CC(=C2)OC)NC(=O)C3=CC4=C(C=C3)OCO4,7.07946
202,662407,C1CN(CCC1C(=O)N)C(=O)CN2C(=O)C3=CC=CC=C3S2(=O)=O,14.1254
203,6603410,CC(C)[C@@H](C1=NN=C(O1)SCC2=CC=C(C=C2)Cl)N.Cl,0.177828
204,6603500,CCSC1=NN=C(O1)[C@H](CC2=CNC3=CC=CC=C32)N.Cl,7.07946
205,6603236,CCN(CC)CCOC(=O)C1=C(N(C2=C1C=C(C=C2)OC)C)C.Cl,39.8107
206,6602710,CC(=C)CSC1=NN=C(O1)[C@H](CC2=CNC3=CC=CC=C32)N.Cl,11.2202
207,9614332,C[N+]1=CC=CC(=C1)CNC(=O)/C=N/O.[I-],10
208,662647,COC1=CC=CC=C1C2=NN=C3N2N=C(CS3)C4=CC(=C(C=C4)O)O,12.5893
209,662650,COC1=C(C=C(C=C1)C2=NNC(=C2)C3=C(C=CC(=C3)F)O)OC,12.5893
210,662670,COC1=CC2=C(C=C1)C(=C(N2)C(=O)OC)NC(=O)C3=CC4=C(C=C3)OCO4,10
211,662710,CC1=CC=C(C=C1)C2=NN3C(=NN=C3S2)C4=CC(=CC=C4)OC,6.30957
212,662745,CCOCCCN1C=NC2=C(C1=O)NC3=C2C=CC(=C3)OC,1.41254
213,662794,CC(C)(C)OC(=O)NCCC1=NN=C(O1)SCC(=O)NC2=CC(=CC=C2)Cl,3.98107
214,662799,C1=CC=C(C=C1)N2C(C3C(O2)C(=O)N(C3=O)C4=CC=CC=C4)C5=CC=NC=C5,0.0707946
215,662838,CCCN1C2=NC3=CC=CC=C3C=C2C(=N1)NC(=O)CC(C)C,7.94328
216,662878,CCOC1=CC=CC=C1NC(=O)CSC2=NN=C(N2C)C3=NC=CN=C3,15.8489
217,662991,CC1=C(C(=NN1)C2=C(C=C(C=C2)O)O)C3=CC=C(C=C3)Cl,0.281838
218,662996,CCOC1=CC=C(C=C1)C2=NN=C3N2N=C(CS3)C4=CC=C(C=C4)OC,4.46684
219,663008,CC(C)COP(=O)(C1=CC=C(C=C1)N(C)C)C(C2=CC=CC=C2F)O,5.62341
220,663055,CC1=CC(=C(C=C1)OC)NC(=O)CSC2=NN=C(N2N)C3=CC(=C(C=C3)OC)OC,28.1838
221,6603621,C1=CC=C(C(=C1)CSC2=NN=C(O2)CCCCCN)Cl.Cl,4.46684
222,663121,C1=CC=C(C=C1)S(=O)(=O)C2=C(N(C3=NC4=CC=CC=C4N=C23)CC5=CC=CO5)N,7.07946
223,9615342,CN1C=[N+](C=C1/C=N/O)C.[I-],8.91251
224,663125,C1=CC(=CC=C1C2=C(NN=C2)C3=C(C=C(C=C3)O)O)Cl,0.251189
225,663143,CCOC1=CC=C(C=C1)C2=NN3C(=NN=C3SC2)C4=CC=CC=C4OC,12.5893
226,663146,COC1=CC2=C(C=C1)C3=C(N2)C(=NC=N3)N4CCN(CC4)CC5=CC6=C(C=C5)OCO6,10
227,663168,CC(C)(C)C1=NN2C(=NN=C2SC1)C3=CC(=CC=C3)OC,2.81838
228,6889315,C1=CC=C(C=C1)/C(=N/O)/C(=O)N,0.00562341
229,663281,CCN1CCN(CC1)C2=NC3=CC=CC=C3N=C2C(C#N)C(=O)OC4CCCCC4,39.8107
230,663330,CCN1C(=O)C2=C(N=C1SCC(=O)N3CCOCC3)OC4=C(C2=O)C=C(C=C4Cl)Cl,12.5893
231,663340,COC1=CC=C(C=C1)CCN2C3=C(C=C(C2=N)C(=O)NCC4=CC=CO4)C(=O)N5C=CC=CC5=N3,11.2202
232,663539,CC1=NC2=C(C(=N1)SCC(=O)NC3=CC4=C(C=C3)OCCO4)OC5=CC=CC=C52,0.562341
233,663558,C1NC(=NCN1CCC2=CC=CC=C2)NC#N,28.1838
234,663581,CC(C)[C@@H](C(=O)OC)NC(=O)NC1=CC=C(C=C1)C(=O)C,17.7828
235,663736,COC(=O)[C@H](CC1=CC=CC=C1)NC(=O)N2CCN(CC2)CC3=CC=CC=C3,12.5893
236,663792,CCOCCCN1C2=C(C=C(C1=N)C(=O)NCC3=CC4=C(C=C3)OCO4)C(=O)N5C=CC=C(C5=N2)C,15.8489
237,663879,CC1=CC=C(O1)C(=O)C2=C(C(=O)N(C2C3=CC=C(C=C3)OC(C)C)CCCN4C=CN=C4)O,14.1254
