,PUBCHEM_CID,smile_1851,p450-cyp1a2-Potency
20,646164,CCOC(=O)CSC1=C(C(C2=C(N1)CCCC2=O)C)C#N,2.51189
21,646293,CC1=CC2=C(C=C1)C=C(C3=NN=C(N23)SCC(=O)NCC4=CC=CO4)C,3.98107
22,646345,C1CN(CCC1C(=O)C2=CC3=C(C=C2)OCCO3)S(=O)(=O)C4=CC=CC=C4F,5.01187
23,646352,CC1=CC=C(C=C1)N2C(=NN=C2SCC(=O)N3CCOCC3)C4=CN=CC=C4,10
24,646395,CCSC1=C(C2(CCCCC2)C(=C(N1)N)C#N)C#N,12.5893
25,646427,C1CN(CCN1C2=NC=C(C=C2)C(F)(F)F)C3=CC(=NC4=NC=NN34)C5=CC=CC=C5,10
26,646472,CCOC(=O)C1=CC2=C(N1CC(=O)N3CCN(CC3)C(=O)C4=CC=CO4)C=C(S2)C,31.6228
27,646597,CCC(=O)NC1=CC2=C(C=C1C(=O)C3=CC=CC=C3)OCCO2,25.1189
28,6602690,CN(C)CCNC(=O)C(C(=O)C1=CC=C(C=C1)F)N2C=CC=CC2=O.Cl,0.630957
29,646955,COC(=O)CN(C1=CC=CC=N1)S(=O)(=O)C2=CC=CC=C2,25.1189
30,6398903,CC1=CC(=C(C=C1)C)/C(=C/2\C(N(C(=O)C2=O)CCN3CCOCC3)C4=CC=CO4)/O,25.1189
31,647114,CN1C2=CC=CC=C2N=C1SC3=CS(=O)(=O)C4=CC=CC=C43,6.30957
32,647166,CCOC1=CC=C(C=C1)C2=NN=C(O2)C3=CC=NC=C3,2.51189
33,647262,CC1=CC=C(C=C1)C2=CN=C(N2C)NC(=O)CCC(=O)N3CCCCC3,25.1189
34,647302,CN1C(=CN=C1NCC2=CC=CC=C2)C3=CC4=C(C=C3)OCO4.C(=O)(C(=O)O)O,3.98107
35,647430,CC1=CC(=NN1C2=NC3=C(N2C(C)C)C(=O)NC(=O)N3C)C,0.316228
36,647585,CC1=CC(=CC=C1)NC(=O)CSC2=NNC(=N2)C3=CC=NC=C3,3.16228
37,647727,C1CCN(C1)S(=O)(=O)C2=CC=C(C=C2)NC(=O)C3=CC=C(C=C3)CN4CCOCC4,6.30957
38,647748,CC1=CC=CC=C1OCC(=O)NC2=CC(=C(C=C2)N3CCN(CC3)C(=O)C(C)C)Cl,15.8489
39,6602522,C1CCC(=CC1)CCNC(=O)CN2CCN(CC2)C3=NC=CC=N3.Cl,1.58489
40,647933,C1CN(CCN1C2=CC=CC=C2)C(=O)NC3=CC(=CC=C3)NC(=O)N4CCN(CC4)C5=CC=CC=C5,15.8489
41,647996,CC1=CC(=CC=C1)NC2=NC3=C(N2CC(CO)O)C(=O)N(C(=O)N3C)C,6.30957
42,648007,CCOC(=O)C1=C(SC(=C1C)C)NC(=O)CSC2=NN=NN2C,3.98107
43,648068,CCOC1=CC=CC(=C1)C2C(=C(C(=O)N2CC3=CC=NC=C3)O)C(=O)C4=CC=C(O4)C,39.8107
44,648218,CCOC(=O)C1=CC=C(C=C1)NC(=O)C2CCCO2,2.51189
45,648236,CCC(C)(C)N1C(=NN=N1)C(C(C)C)N(CCCO)CC2=CC3=C(C=CC(=C3)C)NC2=O,15.8489
46,648407,CCC1=NN=C(S1)NC(=O)CSC2=NN=C(N2CC3=CC=CC=C3)COC4=CC=CC=C4,3.98107
47,648428,CC(C)CN1C(=CN=C1SCC(=O)N2CCOCC2)C3=CC=C(C=C3)Cl,12.5893
48,648481,CSC1=NC2=NC3=C(CN(CC3)CC4=CC=CC=C4)C(=O)N2N1,3.16228
49,6602523,CCC1=CC2=C(N=CN=C2S1)NCC3=CC=CO3.Cl,2.51189
50,648537,CCC1=CC2=C(N=CN=C2S1)NCCO,6.30957
51,5769011,CC1=CC(=C(C=C1)C)/C(=C\2/C(N(C(=O)C2=O)CC3=CN=CC=C3)C4=CN=CC=C4)/O,25.1189
52,648672,C1=CC(=CC=C1C2=C(C(=NN2)N)Cl)Br,0.398107
53,648771,CCCCN1C(=NN=C1SCC(=O)NC(C)(C)C)C2=CC=CO2,0.316228
54,648878,CCN(CC)C1=CC2=C(C=C1)C(=C(C(=O)O2)Br)Cl,0.630957
55,649015,C1C(C2=CC3=C(C=C2NC1=O)OCO3)C4=CC=CS4,0.630957
56,649054,CCCCOC(=O)CSC1=NN=C(O1)C2=CC(=C(C(=C2)OC)OC)OC,31.6228
57,649153,CC1=CC=C(O1)C(C(=O)NCCOC)N(CC2CCCO2)C(=O)CN3C4=CC=CC=C4N=N3,12.5893
58,649165,CC1=C(C=C(C=C1)NC(=O)C2CCN(CC2)S(=O)(=O)C3=C(C=CC(=C3)OC)OC)C,12.5893
59,5768894,CC1=CC=C(O1)C2/C(=C(/C3=CC(=CC=C3)OC)\O)/C(=O)C(=O)N2CCOC,12.5893
60,649453,CCN1C(=NN=C1SCC(=O)NC2=C(C=CC(=C2)OC)OC)COC3=CC=CC=C3,25.1189
61,649650,CC1=CC=C(C=C1)SCC(=O)NC2=NN=C(S2)COC,12.5893
62,649754,C1CC(OC1)CN2C(=CN=C2N)C3=CC=CC=C3,15.8489
63,649949,C1CCCN(CC1)C2=CC=CC=C2NC(=O)CSC3=NC4=CC=CC=C4O3,10
64,6398918,CCOC(=O)CC(=O)CSC1=NC2=C(C3=CC=CC=C3N2)N=N1,3.98107
65,650023,C1CCCN(CC1)C2=C(C=CC=N2)C(=O)NC3CCCC3,15.8489
66,135439099,C1CN(CCC1C2=NC3=C(C(=O)N2)N=NN3CC4=CC=CC=C4Cl)C(=O)CC5=CC=CS5,6.30957
67,650100,COC1=CC=CC=C1OCCN2C=C(C3=CC=CC=C32)C(=O)C4=CC=CO4,2.51189
68,6602529,COC1=CC=CC(=C1)C(=O)NC2CC3CCCC(C2)N3CC(=O)NC4=CC=CC=C4.Cl,6.30957
69,650250,CC1=CC=C(C=C1)C2=CSC(=N2)N3CCC(CC3)NS(=O)(=O)C4=CC5=C(C=C4)OCCO5,5.01187
70,650341,CC1=CC=C(C=C1)NC(=O)NC2CCN(CC2)S(=O)(=O)C3=CC=C(C=C3)OC,31.6228
71,650434,CC1=CC(=NN1CC(=O)NC2=NC(=CS2)C3=CC=C(C=C3)OC)C,3.16228
72,650486,CN1C(=NN=C1SCC2=CC=CC=C2)CNC(=O)NC3=CC=CC=C3,25.1189
73,650558,C1CC2=CC=CC=C2N(C1)C(=O)CSC3=NN=C(O3)CNC4=CC=CC=C4,12.5893
74,6602999,CCOC(=O)C1CC2=C(CN1)NC3=CC=CC=C23.Cl,5.01187
75,650985,CC1=C(N2C(=NC=N2)N=C1C)NCCC3=CC=C(C=C3)OC,0.0398107
76,651025,CCCN1CC=C2C(C1)C(C(C(=C2C#N)N)(C#N)C#N)C3=C(C=CC(=C3)OC)OC,31.6228
77,651076,CCC(=O)NC1=CC(=CC=C1)NC(=O)CSC2=NN=NN2CC3=CC=CC=C3,3.98107
78,651086,CC1=CC(=NN1C2=NC(=CC(=N2)C(F)F)C3=CC=C(C=C3)OC)C,1.77828
79,651189,COC1=C(C=C(C=C1)Cl)NC(=O)CN2C(=O)CSC2=O,3.98107
80,651205,CCC1=C(N=C2C(=C(NN2C1=O)C)C#N)C,31.6228
81,651207,CCOC(=O)N1CCN(CC1)C(=O)C2=CC(=C(C=C2)Cl)S(=O)(=O)N3CCOCC3,6.30957
82,135450659,CC1=CC=C(C=C1)CN2C3=C(C(=O)NC(=N3)C4CCN(CC4)C(=O)CC5=CC=CS5)N=N2,31.6228
83,651338,CCC(=O)N(CC1=CC=CO1)C2=NC(=CS2)C3=CC=CC=C3,1.25893
84,651433,CC(C)C1=CC=C(C=C1)C2=NN(N=N2)CCC(=O)O,12.5893
85,651603,C1=CC=C2C(=C1)C=C(C=N2)NC(=O)C3=CC(=CC=C3)N4C=NN=N4,12.5893
86,135450662,C1CCC2=C(C1)C3=C(S2)NC(=O)CN=C3C4=CC=CS4,15.8489
87,651769,C1=CC(=C(C(=C1)Cl)COC(=O)CNC(=O)C2=CC=CO2)F,25.1189
88,651959,C1CCC(C1)N2C(=NN=N2)C(C3=CC=C(C=C3)Cl)N4CCN(CC4)CC5=CC=NC=C5,10
89,652002,C1=CC=C(C=C1)OC(=O)CSC2=NN=C(O2)C3=CN=CC=C3,12.5893
90,652325,CCOC(=O)CSC1=NNC(=N1)C2=CN=CC=C2,2.51189
91,652521,CN(C)S(=O)(=O)C1=CC=C(C=C1)C(=O)NC2=CC=C(C=C2)CN3CCCC3,25.1189
92,611711,CCCCN1C2=C(N=C1Cl)N(C(=O)N(C2=O)C)C,12.5893
93,26880,CC(=O)NC1=CC=C(S1)C2=CC=CC=C2,12.5893
94,652700,COCCNC(=O)COC(=O)C1=NSC(=C1Cl)Cl,31.6228
95,652954,C1CC2=C(C(=O)C1)C3(CCC4(CC3)OCCO4)C(=C(O2)N)C#N,25.1189
96,6603138,C1CCC(CC1)N2CCN(CC2)CC(=O)NCCC3=CCCCC3.Cl,19.9526
97,2054625,C1COCCN1/C=C(/C#N)\C2=CC=CC=C2,0.891251
98,653097,COC1=C(C=C(C(=C1)C(=O)NC2=CC3=C(C=C2)OCCO3)N4C=NN=N4)OC,2.51189
99,653412,CN1C(=NN=C1SCC(=O)NCC2=CC3=C(C=C2)OCO3)C4=CC5=CC=CC=C5C=C4O,2.51189
100,135417689,CC1=CC(=CC=C1)NC(=O)N(CC2=NC3=CC=CC=C3C(=O)N2)C4CCCC4,19.9526
101,653646,C1CN(CCN1C2=CC(=NC3=NC=NN23)C4=CC=CC=C4)S(=O)(=O)C5=CC=CC=C5,0.794328
102,653695,C1CC2=CC=CC=C2N(C1)C(=O)CSC3=NNC(=N3)C4=CC=CC=C4O,1.99526
103,653778,COC1=CC=CC=C1N2C3=C(C=CC=N3)N=C2SCC(=O)N4CCCC4,0.1
104,653799,CCC1=NN=C2N1N=C(S2)C3=CC=C(C=C3)NC(=O)C4=CC=CO4,14.1254
105,627902,CN(C)C1=CC=C(C=C1)N=CC2=C(OC(=N2)C3=CC=CC=C3)O,0.398107
106,653914,CC(C)CCNC(=O)CN(CC1=CC=CS1)C(=O)CN2N=C(N=N2)C3=CC(=C(C=C3)OC)OC,31.6228
107,654046,COC1=CC=C(C=C1)N2CC(CC2=O)C(=O)OCC(=O)C3=CC(=CC=C3)OC,19.9526
108,654068,COC1=CC=CC(=C1)C2=NN3C(=C2)N=C(C=C3N4CCC5(CC4)OCCO5)C6=CC=CC=C6,0.251189
109,654182,CCOC(=O)CC1=CC(=O)N2C(=N1)C(=C(N2)C)C3=CC=CC=C3,12.5893
110,6398932,CCOC1=CC=CC(=C1)/C(=C/2\C(N(C(=O)C2=O)CC3=CC=CO3)C4=CC=NC=C4)/O,25.1189
111,654244,CC1CCN(CC1)C(=O)CSC2=NC3=C(N2C)N=CC=C3,19.9526
112,654363,C1CCC(CC1)NC(=O)C(C2=CC=CS2)N(CC3=CC=CS3)C(=O)C4=CC=CO4,19.9526
113,654435,C1=CC=C2C(=C1)N=C(O2)SCC(=O)NC3=NC4=CC=CC=C4S3,3.16228
114,5373216,COC1=NNC2=C1N=CN=N2,6.30957
115,654546,CCC1=CC=C(C=C1)N2CC(CC2=O)C(=O)NC3=NCCS3,19.9526
116,655127,CC1=CC(=NN1C2=NC(=NC(=N2)NC(C)C)NC(C)C)C,10
117,655183,CC1=CC(=C2C(=C1)C=C(C(=O)N2)CN(CC3=CC=CC=C3OC)CC4=NN=NN4CC5CCCO5)C,19.9526
118,655401,CCN(C1CCCCC1)S(=O)(=O)C2=CC=C(C=C2)S(=O)(=O)NCC3=CC=NC=C3,15.8489
119,655439,CCOC(=O)C1=C(NC(=O)NC1C2=COC=C2)C,15.8489
120,586663,C1=CC(=CC=C1CCNC(=O)C2=NC=NN2)Cl,19.9526
121,5769094,COC(=O)C1=NOC(=C1)/C=C/C2=CC=CC=C2,1.99526
122,655776,C=CCN1C2=CC=CC=C2N=C1NCC3=CC=CC=C3,10
123,655785,CC(C(=O)NCC1CCCO1)NC(=O)OCC2=CC=CC=C2,12.5893
124,655857,C1CN(CC2=CC=CC=C21)C3=NC=NC4=C3N=NN4CC5=CC=CC=C5,3.98107
125,655926,CC1=CC(=C(C=C1)C)NC(=O)C(CC2=C(C(=CC=C2)OC)OC)C3=NNN=N3,3.16228
126,655948,CC1=NC2=NC=NN2C(=C1)N3CCN(CC3)C4=NC5=CC=CC=C5S4,15.8489
127,656017,CC(C)C(=O)NC1=CC2=C(C=C1C(=O)C3=CC=CC=C3)OCCO2,14.1254
128,656027,COC1=C(C=C(C=C1)CCN2C(C(=C(C2=O)O)C(=O)C3=CC=CO3)C4=CC=CS4)OC,31.6228
129,656157,C1=CC=C(C=C1)N2C3=C(C=N2)C(=O)OC(=N3)C4=CC=CO4,1.99526
130,656183,CC(C)OC(=O)NCCOC(=O)NC1=CC(=CC=C1)Cl,1.58489
131,656216,C1=CC=C(C(=C1)C2NC3=CC=CC4=C3C(=CC=C4)N2)O,1
132,656232,C1=CC=C(C=C1)CC2=C3C(=O)C=CNC3=CC=C2,3.98107
133,656272,CC1=CC=C(C=C1)C2=C(C3=NC4=C(CCCC4)C(=O)N3N2)C,2.51189
134,656290,CC1=CC(=CC=C1)NC(=O)CN2C3=CC=CC=C3OC2=O,15.8489
135,54686761,CCN(CC)CCNC(=O)C1=C(C2=CC=CC=C2N(C1=O)CC=C)O.Cl,1.41254
136,657423,CN1CCC2(CC1)C3CN(CC=C3C(=C(C2(C#N)C#N)N)C#N)C.O.[OH-],19.9526
137,6449251,CC1(CC2=CC(=C(C=C2/C(=C/C(=O)N3CCOCC3)/N1)OC)OC)C.Cl,15.8489
138,135449532,CC1=CC(=O)NC(=N1)N2C(=CC(=N2)C)C,19.9526
139,208296,C1=CC=C(C=C1)C2=NC(=O)NN=C2,14.1254
140,658411,CC1=CC(=NC(=N1)N2C(=CC(=N2)C)C)OC3=CC=C(C=C3)C(=O)OC,8.91251
141,658614,CCN(CC)C1=CC2=C(C=C1)C(C(=C(O2)N)C#N)C3=CN=CC=C3,7.94328
142,658723,COC(=O)C1=C(C2=C(N1)C=CC(=C2)Br)NC(=O)CN3CCN(CC3)C4CCCCC4,12.5893
143,16411130,CC1=NC(=NC2=CC=CC=C12)/N=C(\N)/NC3=CC=CC=C3,5.01187
144,659516,C1C(CNC1=O)C2=CC3=C(C=C2)OCO3,12.5893
145,659575,CCSC1=NN=C(S1)NC(=O)C(C(F)(F)F)C(F)(F)F,15.8489
146,659620,COC1=CC=C(C=C1)N2C=NN=C2,14.1254
147,659654,C1=CN=CC=C1C2=NC3=CC(=C(C=C3N2)F)F,1.99526
148,659658,CC1=C(C=NN1C)C=NCCOCC2=CC=CC=C2,17.7828
149,6603569,CC1=CC2=C(C=C1)N([C@@H]3[C@H]2CN(CC3)C)S(=O)(=O)C4=CC=C(C=C4)F.Cl,17.7828
150,659775,CCOC(=O)C1C(C(NC1=O)C)C2=CC=CC=C2,12.5893
151,659795,CC1=CC(=NC(=N1)N2CCOCC2)OC3=CC=C(C=C3)C4=CC=CC=C4,7.94328
152,659824,CCN(CC)S(=O)(=O)C1=CC=CC2=C1C=CC=C2N(C)C,7.07946
153,659900,COC1=C(C=C(C=C1)CC(=O)NCC2=CC=CC=N2)OC,14.1254
154,659902,CC1CCCCN1C2=NC(=NC3=CC=CC=C32)C4=CC=NC=C4,0.354813
155,659936,CC1=CC=C(C=C1)C(=O)C2=C(NN=C2)C3=C(C=CC(=C3)Cl)O,14.1254
156,660120,CC1=CC(=CO1)C2=CC(=NC(=C2C#N)N)C3=CC=C(C=C3)Cl,8.91251
157,660522,CC(C)OC(=O)C(C#N)C1=NC2=CC=CC=C2N=C1N3CCN(CC3)CC4=CC=CC=C4,7.94328
158,5389254,CC1=C(C(=O)C2=C(O1)C=C(C=C2)O)C3=CN(N=C3)C4=CC=CC=C4,12.5893
159,660635,CC1=C2CCCCC2=C3C(=C(SC3=N1)C#N)N,1.99526
160,660660,CC1(CC2=C(C(C3=CC4=CC=CC=C4N=C3O2)C(C#N)C#N)C(=O)C1)C,22.3872
161,660831,COC1(C2(C(C2(C(=N1)NC(=O)NC3=CC=CC=C3)C#N)C4=CC=CC=C4)C#N)OC,39.8107
162,661037,CNC1=C(N=C(O1)C2=CC=C(C=C2)Cl)C#N,1.77828
163,661055,C1CCN(C1)C2=C(N=C(O2)C3=CC=C(C=C3)F)C#N,0.177828
164,661065,CNC1=C(N=C(O1)C2=CC=CS2)C#N,2.23872
165,661203,CC1CCC2=C3N1C4=C(C=C(C(=C4)C#N)C#N)OC3=CC=C2,1.99526
166,661217,C1=CC=C(C=C1)CNC2=C(N=C(O2)C3=CC=CS3)C#N,1.12202
167,661251,COC1=CC=C(C=C1)CC(=O)NC2=CC=CC(=C2)C3=NN=C(O3)C4=CC=CO4,15.8489
168,661259,CCOC(=O)C1=CC=C(C=C1)NC(=O)COC2=CC=CC=C2OC,7.07946
169,661296,CCC1=C(NC2=C1C=C(C=C2)Br)C(=O)O,5.01187
170,661300,C1=CC=C(C=C1)C2=NC(=S)N(N2)C3=CC=CC=C3,3.54813
171,661406,CC1(CC(=O)C(C(=O)C1)CCCN2C(=O)C3=CC=CC=C3C2=O)C,28.1838
172,9568659,C/C(=N\O)/C1=CC2=C(C=C1)NC=C2,4.46684
173,661502,C1=CC=C2C(=C1)C(=O)N(C(N2)C3=CC=C(C=C3)F)CC4=CC=CO4,25.1189
174,661513,CCN1C(=NN=C1SCC(=O)NC2=CC=CC=C2C(=O)OC)C3=CC=C(C=C3)N,14.1254
175,661528,CC1=CC=C(C=C1)C2NC3=CC=CC=C3C(=O)N2CC4=CC=CO4,15.8489
176,661532,CCOC(=O)C1=C(C2=CC3=C(C=C2N1)OCO3)NC(=O)CN4CCC5(CC4)OCCO5,3.98107
177,661552,CC1=CN2C(=NN=C2S1)C3=CC=NC=C3,10
178,661596,COC1=CC=CC(=C1)C2=CC(N3C(=NN=N3)N2)C4=CC=CC=C4,1.12202
179,661601,CCC(=O)NC1=C(C=CC(=C1)C2=NN(C(=O)C3=CC=CC=C32)C)N4CCCCC4,28.1838
180,661648,C1=CC(=C(C=C1Br)CNN2C=NN=C2)O,14.1254
181,622237,CCN1C=C(C(=O)C2=C1SC(=C2C)C(=O)OCC)C(=O)OCC,25.1189
182,661761,CCOC(=O)C1=C(C2=CC3=C(C=C2N1)OCO3)NC(=O)CN4CCC5=CC=CC=C5C4,2.81838
183,661794,CC1=NN2C(=C1)NC(S2)NC3=CC=CC=C3,3.16228
184,662011,CCN1CCCC1CN2C=NC3=C(C2=O)NC4=C3C=C(C=C4)C,15.8489
185,6881185,COCCCNC(=O)C1=C(N(C2=NC3=CC=CC=C3N=C12)/N=C/C4=CC=CC=N4)N,1.99526
186,662109,CCOC(=O)C1=C(N(C2=C1C(=C(C=C2)OC)NC(=O)CN3CCCCC3)C)C,15.8489
187,662243,C1C(C(=O)N(C1=O)CC2=CC=CC=C2)N(C3CC(=O)N(C3=O)CC4=CC=CC=C4)O,39.8107
188,662260,CCCCCCOC(=O)C(C#N)C1=NC2=CC=CC=C2N=C1N3CCN(CC3)CC,28.1838
189,662344,CCOC(=O)C1=C(C2=C(N1)C=CC(=C2)OC)NC(=O)C3=CC4=C(C=C3)OCO4,2.23872
190,6603410,CC(C)[C@@H](C1=NN=C(O1)SCC2=CC=C(C=C2)Cl)N.Cl,0.794328
191,6603500,CCSC1=NN=C(O1)[C@H](CC2=CNC3=CC=CC=C32)N.Cl,17.7828
192,6603236,CCN(CC)CCOC(=O)C1=C(N(C2=C1C=C(C=C2)OC)C)C.Cl,1.41254
193,662515,CCOC(=O)C1=C(C2=CC(=C(C=C2N1)OC)OC)NC(=O)C3=NON=C3C,1
194,6602710,CC(=C)CSC1=NN=C(O1)[C@H](CC2=CNC3=CC=CC=C32)N.Cl,22.3872
195,662647,COC1=CC=CC=C1C2=NN=C3N2N=C(CS3)C4=CC(=C(C=C4)O)O,15.8489
196,662650,COC1=C(C=C(C=C1)C2=NNC(=C2)C3=C(C=CC(=C3)F)O)OC,6.30957
197,662670,COC1=CC2=C(C=C1)C(=C(N2)C(=O)OC)NC(=O)C3=CC4=C(C=C3)OCO4,2.51189
198,662710,CC1=CC=C(C=C1)C2=NN3C(=NN=C3S2)C4=CC(=CC=C4)OC,7.07946
199,662745,CCOCCCN1C=NC2=C(C1=O)NC3=C2C=CC(=C3)OC,1.99526
200,662794,CC(C)(C)OC(=O)NCCC1=NN=C(O1)SCC(=O)NC2=CC(=CC=C2)Cl,25.1189
201,662838,CCCN1C2=NC3=CC=CC=C3C=C2C(=N1)NC(=O)CC(C)C,1.58489
202,662878,CCOC1=CC=CC=C1NC(=O)CSC2=NN=C(N2C)C3=NC=CN=C3,15.8489
203,662974,CCOC(=O)C1=C(C2=CC=CC=C2N1)NC(=O)C3=NON=C3C,1
204,662991,CC1=C(C(=NN1)C2=C(C=C(C=C2)O)O)C3=CC=C(C=C3)Cl,2.23872
205,662996,CCOC1=CC=C(C=C1)C2=NN=C3N2N=C(CS3)C4=CC=C(C=C4)OC,3.54813
206,663055,CC1=CC(=C(C=C1)OC)NC(=O)CSC2=NN=C(N2N)C3=CC(=C(C=C3)OC)OC,11.2202
207,6603621,C1=CC=C(C(=C1)CSC2=NN=C(O2)CCCCCN)Cl.Cl,28.1838
208,663121,C1=CC=C(C=C1)S(=O)(=O)C2=C(N(C3=NC4=CC=CC=C4N=C23)CC5=CC=CO5)N,22.3872
209,663125,C1=CC(=CC=C1C2=C(NN=C2)C3=C(C=C(C=C3)O)O)Cl,1.58489
210,663143,CCOC1=CC=C(C=C1)C2=NN3C(=NN=C3SC2)C4=CC=CC=C4OC,14.1254
211,663146,COC1=CC2=C(C=C1)C3=C(N2)C(=NC=N3)N4CCN(CC4)CC5=CC6=C(C=C5)OCO6,8.91251
212,663168,CC(C)(C)C1=NN2C(=NN=C2SC1)C3=CC(=CC=C3)OC,2.81838
213,663330,CCN1C(=O)C2=C(N=C1SCC(=O)N3CCOCC3)OC4=C(C2=O)C=C(C=C4Cl)Cl,12.5893
214,663337,CCOC(=O)C1=C(C2=CC(=C(C=C2N1)OC)OC)NC(=O)C3=CC4=C(C=C3)OCO4,2.23872
215,663340,COC1=CC=C(C=C1)CCN2C3=C(C=C(C2=N)C(=O)NCC4=CC=CO4)C(=O)N5C=CC=CC5=N3,15.8489
216,663539,CC1=NC2=C(C(=N1)SCC(=O)NC3=CC4=C(C=C3)OCCO4)OC5=CC=CC=C52,1
217,663690,CCOCCCN1C=NC2=C(C1=O)C3=NC4=CC=CC=C4N=C3N2C5=CC=CC=C5,4.46684
218,663792,CCOCCCN1C2=C(C=C(C1=N)C(=O)NCC3=CC4=C(C=C3)OCO4)C(=O)N5C=CC=C(C5=N2)C,25.1189
219,663879,CC1=CC=C(O1)C(=O)C2=C(C(=O)N(C2C3=CC=C(C=C3)OC(C)C)CCCN4C=CN=C4)O,39.8107
220,664154,CC1=CC2=C(C=C1)C(=C(N2)C(=O)OC)NC(=O)CN3CCCC4=CC=CC=C43,6.30957
221,135513628,CCO/C(=C(\C(=NCCCO)N)/C(=O)OCC)/O,10
222,664461,C1C(=O)C2=C(O1)C=CC(=C2)OCC3=CC=C(C=C3)F,7.07946
223,6603365,C1=CC=C2C(=C1)C3=C(O2)C(=NC=N3)NCCCN4C=CN=C4.Cl,0.0562341
224,664733,CC1=C(C=C(C=C1)N2C3=C(C=N2)C4=NC(=NN4C=N3)C)C,8.91251
225,664737,CCN1C2=C(C=C(C1=N)S(=O)(=O)C3=CC=C(C=C3)F)C(=O)N4C=CC=CC4=N2,1.58489
226,5389891,C/C(=C\CN1C2=C(N=C1N3CCCC3)N(C(=O)NC2=O)C)/Cl,14.1254
227,6603255,CC1(CCC(=O)O1)C(=O)CSC2=NC3=CC=CC=C3S2.Br,3.54813
228,665081,CN1C2=CC=CC=C2N=C1C3=CC=C(O3)CN4CCCCC4,12.5893
229,665084,C1=COC(=C1)C(=O)NC2=CC3=C(C=C2)N=C(N3)C4=CC=C(O4)Br,3.54813
230,6602811,CCCCCCN1CC2=CC=CC=C2C1.Br,12.5893
231,665250,CN1C=C(C=C1C2=NC3=CC=CC=C3N2C)C(=O)C4=CC=C(C=C4)Cl,3.54813
232,665278,COC1=C(C=C2C(=C1)CCN3C2=CC(=NC3=O)NCC4=CC=CC=N4)OC,35.4813
233,665299,C1=CC=C2C(=C1)C(=O)N(C2=O)C3=CC4=C(C=C3)N=C(N4)C5=CC=C(O5)Br,1.12202
234,665380,CCCN1C2=C(C=C(C=C2)OC)C(C1=O)NC(=O)C,7.07946
235,665459,CC(=O)NC1=NN=C(S1)C2=CC=CC=C2OC,1.25893
236,665578,CC(C)(C)C1=CC=C(C=C1)C2=NOC(=N2)CCC(=O)N(C)C,6.30957
237,665654,CC(C)(C)C1=CC=C(C=C1)C2=NOC(=N2)CCC(=O)NC,6.30957
238,665725,CN1C2=C(C=C(C1=N)S(=O)(=O)C3=CC=C(C=C3)F)C(=O)N4C=CC=CC4=N2,12.5893
239,665964,C1OC2=C(O1)C=C(C=C2)C3=NN4C(=NN=C4S3)CN5C=NC6=CC=CC=C65,1.12202
240,666213,CCCN1C(=NC2=C(C1=O)C3=NC4=CC=CC=C4N=C3N2CCC5=CCCCC5)C,25.1189
241,666412,COC1=CC=CC(=C1)C2=NOC(=N2)C3=CN=CC=C3,2.81838
